NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
VYZULTA;LATANOPROSTENO BUNODE;ANALOGOS DA PROSTAGLANDINA;BL INDUSTRIA OTICA LTDA
AGUA BORICADA 3%;;;FBM INDUSTRIA FARMACEUTICA LTDA
BICARBONATO DE SODIO;;;FEDERAL INDUSTRIA QUIMICA E FARMACEUTICA LTDA
DROSPIRENONA + ETINILESTRADIOL;DROSPIRENONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;GERMED FARMACEUTICA LTDA
MESALAZINA;MESALAZINA;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;GERMED FARMACEUTICA LTDA
NEMODINE;BESILATO DE AMLODIPINA;ANTI-HIPERTENSIVOS SIMPLES;DIFFUCAP - CHEMOBRAS QUIMICA E FARMACEUTICA LTDA
OLANZAPINA;OLANZAPINA;ANTIPSICOTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
SINVASTATINA;SINVASTATINA;ANTILIPEMICOS;RANBAXY FARMACEUTICA LTDA
BRYOPHYLLUM ARGENTO CULTUM;BRYOPHYLLUM CALYCINUM;;WELEDA DO BRASIL LABORATORIO E FARMACIA LTDA
DERMESAN GEL;;;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
DIZTABEX;DIVALPROATO DE SODIO;ANTICONVULSIVANTES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
KOLAZON GEL;;;AMAZONAS COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA
DEPZEL;CLORIDRATO DE DONEPEZILA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ENOXALOW;ENOXAPARINA SODICA;ANTITROMBOTICO;BLAU FARMACEUTICA S.A.
ETILEFRIL;CLORIDRATO DE ETILEFRINA;HIPERTENSOR;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
CLORIDRATO DE ESCETAMINA;cloridrato de escetamina;ANESTESICOS GERAIS INJETAVEIS;HIPOLABOR FARMACEUTICA LTDA
NEBACIMED;SULFATO DE NEOMICINA, BACITRACINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;CIMED INDUSTRIA S.A
LANICO;AMOXICILINA, AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;SUPERA FARMA LABORATORIOS S.A
RIODEINE TINTURA;;;RIOQUIMICA S.A.
VANTIL;IBUPROFENO;ANALGESICOS NAO NARCOTICOS;1FARMA INDUSTRIA FARMACEUTICA LTDA
HUMALOG;insulina LISPRO;ANTIDIABETICOS;ELI LILLY DO BRASIL LTDA
RIBAVIRINA;RIBAVIRINA;ANTIVIROTICOS;FUNDACAO OSWALDO CRUZ
SULFATO DE VINCRISTINA;SULFATO DE VINCRISTINA;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
ALENDRONATO DE SODIO;alendronato de sodio;SUPRESSORES DA REABSORCAO OSSEA;CIMED INDUSTRIA S.A
DERMICON BENJOIM;;;LABORATIL FARMACEUTICA LTDA
IBANDRONATO DE SODIO MONOIDRATADO;IBANDRONATO DE SODIO MONOIDRATADO;SUPRESSORES DA REABSORCAO OSSEA;GERMED FARMACEUTICA LTDA
IBUPROFENO;IBUPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
KYNTHEUM;BRODALUMABE;IMUNOMODULADOR;LEO PHARMA LTDA
SELOZOK FIX;FELODIPINO, SUCCINATO DE METOPROLOL;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;ASTRAZENECA DO BRASIL LTDA
SINDRAT (SABOR NATURAL, ACAO, AGUA DE COCO, TANGERINA, UVA);;;BRASTERAPICA PHARMACEUTICA LTDA
BRILINTA;ticagrelor;ANTIAGREGANTE PLAQUETARIO;ASTRAZENECA DO BRASIL LTDA
CALMPHAR PI;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;PHARLAB INDUSTRIA FARMACEUTICA S.A.
GASTROGEL DE BOLSO;;;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA
HEMOCTIL;;;1FARMA INDUSTRIA FARMACEUTICA LTDA
TINTURA DE IODO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
NAZOLON;;;LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
CEFALOTINA SODICA;CEFALOTINA SODICA;CEFALOSPORINAS;NEWCOM FARMACEUTICA LTDA.
SPRAY NASAL CIMED;;;CIMED INDUSTRIA S.A
SUCCINATO DE DESVENLAFAXINA;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ETINILESTRADIOL + GESTODENO;ETINILESTRADIOL, GESTODENO;ANTICONCEPCIONAIS;ACHE LABORATORIOS FARMACEUTICOS S.A
LAPON;;;LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
GASIMEC GOTAS;;;IMEC - INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA
REDTIBIN;DECITABINA;ANTINEOPLASICO;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
SENARETI;SENNA ALEXANDRINA MILL.;LAXANTES INCREMENTADORES DO BOLO INTESTINAL;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CLORIDRATO DE PROPRANOLOL;CLORIDRATO DE PROPRANOLOL;AGENTES BETABLOQUEADORES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
DIPROSALIC;DIPROPIONATO DE BETAMETASONA, ACIDO SALICILICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
LEITE DE MAGNESIA TRIANE;;;LABORATORIO TAYUYNA LTDA
CALCIMEC;;;IMEC - INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA
LIDOSTESIM AD;CLORIDRATO DE LIDOCAINA, HEMITARTARATO DE EPINEFRINA;ANESTESICOS LOCAIS;DLA PHARMACEUTICAL LTDA
HEMITARTARATO DE ZOLPIDEM;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;EMS S/A
PENEXIL;IMIPENEM, CILASTATINA;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;QUIMICA HALLER LTDA
SORO ANTIBOTULANICO AB;Imunoglobulina heterologa contra toxina botulinica tipo A, Imunoglobulina heterologa contra toxina botulinica tipo B;SOROS IMUNOPROTETORES;INSTITUTO BUTANTAN
SPIKEVAX;VACINA COVID-19;VACINAS;EVITA CARE IMPORTACAO E DISTRIBUICAO DE PRODUTOS LTDA.
VALSARTANA + HIDROCLOROTIAZIDA;VALSARTANA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ACETATO DE CLORMADINONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;GERMED FARMACEUTICA LTDA
ADAZO;ADAPALENO, PEROXIDO DE BENZOILA;PRODUTOS ANTI-ACNE;LIBBS FARMACEUTICA LTDA
CLORIDRATO DE DOBUTAMINA;CLORIDRATO DE DOBUTAMINA;MEDICAMENTOS C/ ACAO NO MIOCARDIO;HIPOLABOR FARMACEUTICA LTDA
GLIMEPIRIDA;GLIMEPIRIDA;ANTIDIABETICOS;CIMED INDUSTRIA S.A
OLEO MINERAL AIRELA;;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
DEXAMETASONA;DEXAMETASONA;GLICOCORTICOIDES SISTEMICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
GEL DE PEROXIDO DE BENZOILA 10% - ASEPXIA GEL;;;LABORATORIO TARGET PHARMA LTDA ME
PREDNISONA;PREDNISONA;GLICOCORTICOIDES SISTEMICOS;LABORATORIO GLOBO SA
SONOLIS;MELISSA OFFICINALIS L.;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
TEZDRO;UNDECILATO DE TESTOSTERONA;ANDROGENOS SIMPLES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
EMPAGLIFLOZINA;empagliflozina;ANTIDIABETICOS;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
VIOLETA GENCIANA 1% HEMAFARMA;;;HEMAFARMA COM. E IND. FARM. LTDA
CLORIDRATO DE FLUOXETINA;CLORIDRATO DE FLUOXETINA;ANTIDEPRESSIVOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
HPMIX;ACICLOVIR;ANTIVIROTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
TAXOTERE;DOCETAXEL;ANTINEOPLASICO;SANOFI MEDLEY FARMACEUTICA LTDA.
MERTI SEPTICO;;;LABORATORIO INDUSTRIAL E FARMACEUTICO BUCAR LTDA
ALEVO;LEVOFLOXACINO HEMIIDRATADO;ANTIBIOTICOS SISTEMICOS SIMPLES;SUPERA FARMA LABORATORIOS S.A
LEITES DE MAGNESIA IFAL;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
VANK;CLORIDRATO DE VANCOMICINA;ANTIBIOTICOS SISTEMICOS SIMPLES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
BIOHEPATON;PEUMUS BOLDUS MOLINA;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
SUJMA;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;CAMBER FARMACEUTICA LTDA
FUNCHICAREA;Chicorium intybus, Rheum palmatum L., Anethum foeniculum L., CICHORIUM INTYBUS;ANTIESPASMODICOS;LABORATORIO MELPOEJO
ARTAG;ticagrelor;ANTIAGREGANTE PLAQUETARIO;LIBBS FARMACEUTICA LTDA
DAPLIZA;dapagliflozina;ANTIDIABETICOS;EUROFARMA LABORATORIOS S.A.
BROMETO DE PANCURONIO;BROMETO DE PANCURONIO;BLOQUEADOR NEUROMUSCULAR;NEWCOM FARMACEUTICA LTDA.
CLARIL;CLORIDRATO DE NAFAZOLINA, MALEATO DE FENIRAMINA;DESCONGESTIONATES OFTALMICOS;NOVARTIS BIOCIENCIAS S.A
LUNIERA;VILDAGLIPTINA;ANTIDIABETICOS;BIOTEC BIOLOGICA INDUSTRIA FARMACEUTICA LTDA.
XYDOFLEV;CARBOXIMALTOSE FERRICA;ANTIANEMICOS SIMPLES;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
HEMIFUMARATO DE QUETIAPINA;hemifumarato de quetiapina;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;ACHE LABORATORIOS FARMACEUTICOS S.A
CALICIDA;;;LABORATORIO TAYUYNA LTDA
CLORIDRATO DE CIPROFLOXACINO;cloridrato de ciprofloxacino monoidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;EMS S/A
DANTALIN;FENITOINA;ANTICONVULSIVANTES;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
MIRTAZAPINA;MIRTAZAPINA;ANTIDEPRESSIVOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
TESTE PO 2;;;EMPRESA DE TESTE LTDA. (VS01)
ZIPROL;PANTOPRAZOL SODICO SESQUI-HIDRATADO;ANTIACIDOS E ANTIULCEROSOS;LABORATORIOS BALDACCI LTDA
KETAH;cloridrato de escetamina;ANESTESICOS GERAIS INJETAVEIS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ULTIVA;CLORIDRATO DE REMIFENTANILA;ANALGESICOS NARCOTICOS;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
XEFO;LORNOXICAM;ANTINFLAMATORIOS;BIOLAB SANUS FARMACEUTICA LTDA
DERMICOSAN;;;LABORATORIO FARMACEUTICO CARESSE LTDA ME
EPYDERMY;;;LABORATORIO TAYUYNA LTDA
GLICERINA IFAL;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
LUREND;DIENOGESTe;PROGESTAGENOS SIMPLES;MYRALIS INDUSTRIA FARMACEUTICA LTDA
AGUA OXIGENADA DAREL 10 VOL.;;;DAREL INDUSTRIAS QUIMICO FARMACEUTICO LTDA-ME
ALCOOL IODADO 0,1% IFAL;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
AMPICILINA SODICA + SULBACTAM SODICA;AMPICILINA SODICA, SULBACTAM SODICo;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA
CARBOCISTEINA;CARBOCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;NATIVITA IND. COM. LTDA.
EACA BALSAMICO;ACIDO IPSILON AMINOCAPRAICO, BENZOATO DE SODIO, CLORETO DE AMONIO, GUAIFENESINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;ZYDUS NIKKHO FARMACEUTICA LTDA
ETOMIDATO;ETOMIDATO;HIPNOTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
VIDMAX;TOPIRAMATO;ANTICONVULSIVANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
GALVUS;VILDAGLIPTINA;ANTIDIABETICOS;NOVARTIS BIOCIENCIAS S.A
ACECORTHYL;ACETATO DE HIDROCORTISONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;LABORATORIO TEUTO BRASILEIRO S/A
RIVAROXABANA;RIVAROXABANA;ANTITROMBOTICO;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
AZUKON MR;GLICAZIDA, GLICLAZIDA;ANTIDIABETICOS;TORRENT DO BRASIL LTDA
LAVIE;VALPROATO DE sodIo;ANTICONVULSIVANTES;PRATI DONADUZZI & CIA LTDA
BROMIDRATO DE FENOTEROL;BROMIDRATO DE FENOTEROL;BRONCODILATADORES;LABORATORIO TEUTO BRASILEIRO S/A
ZAPSY;MIRTAZAPINA;ANTIDEPRESSIVOS;PRATI DONADUZZI & CIA LTDA
PURELL ADVANCED ESPUMA ANTISSEPTICA PARA MAOS;;;GOJO AMERICA LATINA LTDA
TAFINLAR;mesilato de dabrafenibe;ANTINEOPLASICO;NOVARTIS BIOCIENCIAS S.A
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ACETATO DE CLORMADINONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;EUROFARMA LABORATORIOS S.A.
ASSEPTCARE PV;;;HYPERA S.A.
CEFADROXILA;CEFADROXILA MONOIDRATADA;CEFALOSPORINAS;EUROFARMA LABORATORIOS S.A.
ETODOLACO;ETODOLACO;ANTINFLAMATORIOS ANTIREUMATICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
NITRENDIPINO;NITRENDIPINO;ANTI-HIPERTENSIVOS SIMPLES;ACHE LABORATORIOS FARMACEUTICOS S.A
LUMBRA;CLORIDRATO DE TRAZODONA;ANTIDEPRESSIVOS;EMS S/A
DASATINIBE;DASATINIBE MONOIDRATADO;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
DICLOFENACO COLESTIRAMINA;DICLOFENACO COLESTIRAMINA;ANTINFLAMATORIOS;EMS S/A
DICLOFENACO POTASSICO;DICLOFENACO POTASSICO;ANTINFLAMATORIOS;CIMED INDUSTRIA S.A
EFURIX;FLUORURACILA;OUTROS ANTINEOPLASICOS;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
CLOB-X;PROPIONATO DE CLOBETASOL;CORTICOSTEROIDES TOPICOS;GALDERMA BRASIL LTDA
DIOSMIN;DIOSMINA, FLAVONOIDES EXPRESSOS EM HESPERIDINA, HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;ACHE LABORATORIOS FARMACEUTICOS S.A
LOPEXX;MINOXIDIL;ANTIALOPECIA;GEOLAB INDUSTRIA FARMACEUTICA S/A
RITTY;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;LABORATORIO TEUTO BRASILEIRO S/A
VENLIFT OD;CLORIDRATO DE VENLAFAXINA;ANTIDEPRESSIVOS;TORRENT DO BRASIL LTDA
CELESTONE;BETAMETASONA, FOSFATO DISSODICO DE BETAMETASONA, BETAMETASONA ALCOOL MICRONIZADA;GLICOCORTICOIDES SISTEMICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
CLORIDRATO DE METFORMINA;CLORIDRATO DE METFORMINA;ANTIDIABETICOS;TORRENT DO BRASIL LTDA
DERMOSALIC;DIPROPIONATO DE BETAMETASONA, ACIDO SALICILICO;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;CELLERA FARMACEUTICA S.A.
D.NOVA D3;COLECALCIFEROL;ANALOGO SINTETICO DA VITAMINA D;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
IMUNOGLUCAN;GLUCANA;IMUNOMODULADOR;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A
NOVOTRAM;CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
PROCTFIS - H;;;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
METICORTEN;PREDNISONA;GLICOCORTICOIDES SISTEMICOS;ORGANON FARMACEUTICA LTDA.
NASONEW INFANTIL;;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
RIODEINE DERMO SUAVE ToPICO;;;RIOQUIMICA S.A.
AGUA OXIGENADA 10 VOLUMES HEMAFARMA;;;HEMAFARMA COM. E IND. FARM. LTDA
BONPETI;CLORIDRATO DE CIPROEPTADINA, CLORIDRATO DE TIAMINA, fosfato sodico de riboflavina, CLORIDRATO DE PIRIDOXINA, NICOTINAMIDA, ACIDO ASCORBICO;ESTIMULANTES DO APETITE;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
LOSARTANA POTASSICA;losartana potassica;ANTI-HIPERTENSIVOS SIMPLES;EUROFARMA LABORATORIOS S.A.
NIMESULIDA;NIMESULIDA;ANTINFLAMATORIOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
SALIPREVI;ACIDO ACETILSALICILICO;ANTIAGREGANTE PLAQUETARIO;EUROFARMA LABORATORIOS S.A.
DOMPERIDONA;DOMPERIDONA;ANTIEMETICOS E ANTINAUSEANTES;EMS S/A
OLEO MINERAL;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
TADALAFILA;TADALAFILA;VASODILATADORES;1FARMA INDUSTRIA FARMACEUTICA LTDA
ABLOK PLUS;ATENOLOL, CLORTALIDONA;ANTI-HIPERTENSIVOS;BIOLAB SANUS FARMACEUTICA LTDA
BISSULFATO DE CLOPIDOGREL;BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;ACCORD FARMACEUTICA LTDA
MICOFENOLATO DE MOFETILA;micofenolato de mofetila;AGENTE IMUNOSUPRESSOR;EMS S/A
ATORVASTATINA CALCICA;ATORVASTATINA CALCICA;ANTILIPEMICOS;LABORATORIO TEUTO BRASILEIRO S/A
FLUNEXIL;FLUMAZENIL;ANTAGONISTA DE BENZODIAZEPINAS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
DESALEX;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;ORGANON FARMACEUTICA LTDA.
POMADA DE ACIDO SALICILICO 2% EPYDERMY;;;LABORATORIO TAYUYNA LTDA
CORONAR;MONONITRATO DE ISOSSORBIDA;VASODILATADORES;BIOLAB SANUS FARMACEUTICA LTDA
TRANSTEC;BUPRENORFINA;ANALGESICOS;GRUNENTHAL DO BRASIL FARMACEUTICA LTDA.
STIVARGA;regorafenibe;ANTINEOPLASICO;BAYER S.A.
FLUFENAN DEPOT;ENANTATO DE FLUFENAZINA;NEUROLEPTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
MIORRELAX UNO;dipirona monoidratada;ANALGESICOS NAO NARCOTICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
AZIRAM;;;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
BICARBONATO DE SODIO MARIOL;;;UNITHER INDUSTRIA FARMACEUTICA LTDA.
ATENOLOL;ATENOLOL;ANTI-HIPERTENSIVOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES;CIMED INDUSTRIA S.A
BOLT CAPS;SULFATO DE GLICOSAMINA CLORETO DE SODIO, SULFATO DISSODICO DE CONDROITINA, SULFATO DE GLICOSAMINA, SULFATO DE CONDROITINA;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;EUROFARMA LABORATORIOS S.A.
CILOXAN;cloridrato de ciprofloxacino monoidratado;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;NOVARTIS BIOCIENCIAS S.A
CLORIDRATO DE OLOPATADINA;CLORIDRATO DE OLOPATADINA;MEDICAMENTOS COM ACAO NO APARELHO VISUAL;RANBAXY FARMACEUTICA LTDA
NASOJET 3H;CLORETO DE SODIO;;NATULAB LABORATORIO S.A
OLEO DE AMENDOAS DOCE FLORAMAZON;;;LABORATORIO FLORA DA AMAZONIA LTDA
PREGABALINA;PREGABALINA;ANTICONVULSIVANTES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
AGUA PARA INJETAVEIS;AGUA PARA INJETAVEIS;DILUENTES E VEICULOS DE MEDICAMENTOS;SANTISA LABORATORIO FARMACEUTICO S/A
CABERGOLINA;CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;SUN FARMACEUTICA DO BRASIL LTDA
SECRELISE;CLORIDRATO DE OXOMEMAZINA, IODETO DE POTASSIO, BENZOATO DE SODIO, GUAIFENESINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;EMS S/A
ACEFLOR;ACECLOFENACO;ANTINFLAMATORIOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ENBREL PFS;Etanercepte;ANTINFLAMATORIOS;LABORATORIOS PFIZER LTDA
ETORICOXIBE;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;MCG INDUSTRIA FARMACEUTICA E IMPORTACAO LTDA
CLORIDRATO DE SERTRALINA;CLORIDRATO DE SERTRALINA;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
DIVALPROATO DE SODIO;DIVALPROATO DE SODIO;ANTICONVULSIVANTES;RANBAXY FARMACEUTICA LTDA
SOLUCAO RINGER SIMPLES EQUIPLEX;CLORETO DE POTASSIO, CLORETO DE SODIO, CLORETO DE SODIO + ASSOCIACOES, CLORETO DE CALCIO;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
SORIPAN;;;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CITRATO DE SILDENAFILA;CITRATO DE SILDENAFILA;VASODILATADORES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
MEKTOVI;BINIMETINIBE;INIBIDORES DA PROTEINA QUINASE;PFIZER BRASIL LTDA
CLONAZEPAM;CLONAZEPAM;ANTICONVULSIVANTES;SANOFI MEDLEY FARMACEUTICA LTDA.
ONDAVON;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CEFALEXINA;CEFALEXINA;CEFALOSPORINAS;LABORATORIO TEUTO BRASILEIRO S/A
CLORIDRATO DE CLOMIPRAMINA;CLORIDRATO DE CLOMIPRAMINA;ANTIDEPRESSIVOS;GERMED FARMACEUTICA LTDA
GLICONATO DE CALCIO;GLICONATO DE CALCIO;ELETROLITOS SIMPLES;FARMARIN INDUSTRIA E COMERCIO LTDA
DICLOFENACO DIETILAMONIO;DICLOFENACO DIETILAMONIO;ANTINFLAMATORIOS;EMS S/A
DESOGESTREL;DESOGESTREL;ANTICONCEPCIONAIS;EUROFARMA LABORATORIOS S.A.
DALIO;;;TAUENS FARMACEUTICA LTDA
GAMA ANTI-D GRIFOLS;IMUNOGLOBULINA ANTI-D;IMUNOGLOBULINAS;GRIFOLS BRASIL LTDA
NISULID XR;NIMESULIDA;ANTINFLAMATORIOS;ACHE LABORATORIOS FARMACEUTICOS S.A
DOTAREM;ACIDO GADOTARICO;CONTRASTES RADIOLOGICOS;GUERBET IMAGEM DO BRASIL LTDA
FENITOINA SODICA;FENITOINA SODICA;ANTICONVULSIVANTES;LABORATORIO TEUTO BRASILEIRO S/A
HUMIRA;ADALIMUMABE;ANTINFLAMATORIOS ANTIREUMATICOS;ABBVIE FARMACEUTICA LTDA.
LAFLUGI;LANSOPRAZOL;ANTIULCEROSOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
EDIFICAN;IBANDRONATO DE SODIO MONOIDRATADO;SUPRESSORES DA REABSORCAO OSSEA;ACHE LABORATORIOS FARMACEUTICOS S.A
FDG;FLUDESOXIGLICOSE 18F;AGENTES DIAGNOSTICOS RADIOATIVOS;VILLAS BOAS RADIOFARMACOS BRASIL S/A
TENADREN;CLORIDRATO DE PROPRANOLOL, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;EMS SIGMA PHARMA LTDA
ALERYOS;BILASTINA;ANTI-HISTAMINICOS SISTEMICOS;CELLERA FARMACEUTICA S.A.
DIVALPROATO DE SODIO;DIVALPROATO DE SODIO;ANTICONVULSIVANTES;ABBOTT LABORATORIOS DO BRASIL LTDA
MULTIGRIP MIX;PARACETAMOL, MALEATO DE CLORFENIRAMINA, CLORIDRATO DE FENILEFRINA;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ZEFORUS;BROMIDRATO DE ELETRIPTANA;ANALGESICOS CONTRA ENXAQUECA;VIATRIS FARMACEUTICA DO BRASIL LTDA
AMOXICILINA;AMOXICILINA TRI-hIDRATADA;PENICILINA DE AMPLO ESPECTRO;RANBAXY FARMACEUTICA LTDA
CINETOL;LACTATO DE BIPERIDENO, CLORIDRATO DE BIPERIDENO;ANTIPARKINSONIANOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
NORFLOXACINO;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;EMS S/A
