NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
PROLOPA;CLORIDRATO DE BENSERAZIDA, LEVODOPA;ANTIPARKINSONIANOS;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.
SEMGLEE;INSULINA GLARGINA;ANTIDIABETICOS;BIOCON BIOLOGICS DO BRASIL LTDA
ACIDO MEFENAMICO;ACIDO MEFENAMICO;ANTINFLAMATORIOS ANTIREUMATICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
LEITE DE MAGNESIA GASTRIMEC;;;IMEC - INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA
LIMONADA PURGATIVA HEMAFARMA;;;HEMAFARMA COM. E IND. FARM. LTDA
XAROPE PULMEX;;;LABORATORIO MERCOFARMA LTDA
CLISTEROL;GLICERINA;LAXANTES IRRITANTES OU ESTIMULANTES;JP INDUSTRIA FARMACEUTICA S/A
PASSIFLORA VIDORA;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;VIDORA FARMACEUTICA LTDA
HIDROCIN;CLORIDRATO DE NAFAZOLINA, FOSFATO DISSODICO DE DEXAMETASONA, SULFATO DE NEOMICINA;OUTRAS PREPARACOES PARA TERAPIA SINTOMATICA NASAL;ACHE LABORATORIOS FARMACEUTICOS S.A
SOLUCAO FISIOLOGICA 0,9%;;;INDUSTRIA FARMACEUTICA SANTA RITA DE CASSIA LTDA - EPP
DODOY;dipirona monoidratada;ANALGESICOS;JARRELL FARMACEUTICA LTDA EPP
GLYCELAX;;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
IMREVITE;nivolumabe;ANTINEOPLASICO;BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA
LIPANON;FENOFIBRATO;ANTILIPEMICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
NUVYOR;LENALIDOMIDA;OUTROS AGENTES IMUNOSSUPRESSORES;EUROFARMA LABORATORIOS S.A.
RIOHEX 2%;;;RIOQUIMICA S.A.
MEVAMOX;MELOXICAM;ANTINFLAMATORIOS;LABORATORIO TEUTO BRASILEIRO S/A
STILNOX;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
ETORICOXIBE;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;ORGANON FARMACEUTICA LTDA.
FLUIDELAN;;;BELFAR LTDA
KERABIO;BIOTINA;MONOVITAMINAS EXCETO VITAMINA K;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
LAVOLHO;;;LABORATORIO REGIUS LTDA.
TEMOZOLOMIDA;TEMOZOLOMIDA;CITOSTATICOS ALQUILANTES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
FORXIGA;DAPAGLIFLOZINA PROPANODIOL MONOIDRATADO;ANTIDIABETICOS;ASTRAZENECA DO BRASIL LTDA
EVER CARE VASELINA LIQUIDA;;;LABORATORIO TAYUYNA LTDA
SORO FISIOLOGICO VIC;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CALICIDA;;;INDUSTRIA FARMACEUTICA SANTA TEREZINHA LTDA - EPP
REVOLADE;eltrombopague olamina;OUTROS PRODUTOS ANTI-HEMORRAGICOS;NOVARTIS BIOCIENCIAS S.A
RIVAROXABANA;RIVAROXABANA;ANTICOAGULANTES;APSEN FARMACEUTICA S/A
ALUDROXIL;;;SANVAL COMERCIO E INDUSTRIA LTDA
DOCETAXEL;DOCETAXEL;AGENTES ANTINEOPLASICOS;ACCORD FARMACEUTICA LTDA
ETORICOXIBE;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;BIOTEC BIOLOGICA INDUSTRIA FARMACEUTICA LTDA.
GENFIBROZILA;GENFIBROZILA;ANTILIPEMICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
LEITE DE MAGNESIA CIMED;;;CIMED INDUSTRIA S.A
MIRTAZAPINA;MIRTAZAPINA;ANTIDEPRESSIVOS;ZYDUS NIKKHO FARMACEUTICA LTDA
PROFLAM;ACECLOFENACO;ANTINFLAMATORIOS;EUROFARMA LABORATORIOS S.A.
SOUL;ESZOPICLONA;HIPNOTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
ZYLCAS;MONTELUCASTE de SODIO;ANTIASMATICOS;ZYDUS NIKKHO FARMACEUTICA LTDA
CLORIDRATO DE RANITIDINA;CLORIDRATO DE RANITIDINA;ANTIULCEROSOS;FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
DAUF/NEEDS;;;LABORATORIO PERNAMBUCANO LTDA.
DESONIDA;DESONIDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;ACHE LABORATORIOS FARMACEUTICOS S.A
